name,online_ordering ,online_table_booking,rating,votes,approx_cost_for_two,restaurant_type,popularity
Burger King,1,0,3.2,71,600,Dining,Low
The Good Bowl,1,0,3.6,6,500,Dining,Low
The Biryani Cafe,0,0,4.1,520,300,Dining,Popular
Spicy Tandoor,0,0,4.1,0,150,Dining,Low
LSD Cafe,0,0,2.9,84,700,other,Low
Rolls On Wheels,0,0,3.6,299,300,Dining,Moderate
Om Sri Vinayaka Chats,0,0,3.6,0,500,Dining,Low
Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,150,Dining,Popular
Devanna Dum Biriyani Centre,1,0,3.6,28,300,Dining,Low
Kolbeh,0,0,3.7,22,500,Dining,Low
Upahar Sagar,0,0,3.8,39,350,Dining,Low
Kadalu Sea Food Restaurant,1,0,3.8,153,500,Dining,Moderate
Frozen Bottle,1,0,4.2,146,400,Dining,Moderate
Parimala Sweets,0,0,3.5,14,200,Dining,Low
Vaishali Deluxe,0,0,3.8,42,700,Dining,Low
Chill Out,0,0,3.8,0,100,Dining,Low
The Big O Bakes,0,0,4,66,300,Dining,Low
Meghana Foods,1,0,4.4,4401,600,Dining,Very popular
Krishna Sagar,0,0,3.5,31,200,Dining,Low
Dessert Rose,0,0,3.5,7,500,Dining,Low
Chickpet Donne Biryani House,0,0,3.7,21,250,Dining,Low
Me And My Cake,0,0,3.7,0,500,Dining,Low
Sunsadm,0,0,3.7,0,400,Dining,Low
Annapooraneshwari Mess,0,0,3.7,0,200,Dining,Low
Thanco's Natural Ice Creams,0,0,3.2,9,300,Dining,Low
Nandhini Deluxe,0,0,2.6,283,600,Dining,Moderate
Vi Ra's Bar and Restaurant,0,0,3.3,62,800,Dining,Low
Kaggis,0,0,3.8,64,250,Dining,Low
Ayda Persian Kitchen,0,0,3.7,39,950,Dining,Low
Chatar Patar,0,0,3.7,65,300,Dining,Low
Polar Bear,1,0,3.8,71,400,Dining,Low
Kidambi's Kitchen,0,0,3.5,52,300,Dining,Low
Mane Thindi,0,0,3.7,130,200,Dining,Moderate
Kotian Karavali Restaurant,0,0,3.5,10,300,Dining,Low
Floured-Baked With Love,0,0,3.8,45,400,Dining,Low
Cakes & Slices,0,0,3.5,13,300,Dining,Low
Spice 9,0,0,3.4,8,300,Dining,Low
Coffee Shopee,0,0,3.4,0,250,Dining,Low
Naveen Kabab & Biriyani Mane,0,0,3.2,9,300,Dining,Low
Katriguppe Donne Biryani,0,0,3.2,4,300,Dining,Low
Hari Super Sandwich,0,0,3.2,0,200,Dining,Low
Atithi Point Ande Ka Funda,0,0,3.1,29,150,Dining,Low
Just Bake,0,0,3.4,8,400,Dining,Low
Dharwad Line Bazaar Mishra Pedha,0,0,3.4,0,150,Dining,Low
Cake Bite,0,0,3.4,0,300,Dining,Low
Aarush's Food Plaza,0,0,3.4,0,200,Dining,Low
Wood Stove,0,0,3.4,0,150,Dining,Low
Kulfi & More,0,0,3.4,0,150,Dining,Low
Kannadigas Karavali,0,0,3.4,0,250,Dining,Low
K27 - The Pub,0,0,3.1,30,900,Dining,Low
Bengaluru Coffee House,1,0,4.1,201,300,Dining,Moderate
New Mangalore Lunch Home,0,0,3.3,7,200,Dining,Low
Coffee Bytes,0,0,3.1,6,100,Dining,Low
Parjanya Chat Zone,0,0,3.3,17,200,Dining,Low
Kwality Wall's Swirl's Happiness Station,0,0,2.9,25,200,Dining,Low
Soms Kitchen & Bakes,0,0,2.9,0,400,Dining,Low
Banashankari Nati Style,0,0,2.9,0,350,Dining,Low
Ruchi Maayaka,0,0,3.3,8,100,Dining,Low
Mohitesh Hut Roll,0,0,3.3,0,150,Dining,Low
Sri Basaveshwar Jolada Rotti Oota,0,0,3.4,0,150,Dining,Low
Roll Magic Fast Food,0,0,3.4,0,200,Dining,Low
Foodlieious Multi Cuisine,0,0,3.4,0,100,Dining,Low
Thanishka Nati And Karavali Style,0,0,3.1,0,400,Dining,Low
Swathi Cool Point,0,0,4.1,0,200,Dining,Low
Kaumudis Juoice,0,0,3.3,0,150,Dining,Low
Amma - Manae,0,0,3.1,0,400,Dining,Low
Sri Sai Tiffannies,0,0,3.3,0,150,Dining,Low
Hotel Andhra Speices,0,0,2.9,0,250,Dining,Low
Sri Murari Family Restaurant,0,0,2.9,0,250,Dining,Low
Aramane Donne Biriyani,0,0,2.9,0,150,Dining,Low
Darkolates,0,0,3.3,0,200,Dining,Low
Swaada Healthy Kitchen,0,0,3.3,0,350,Dining,Low
Gawdaru Mane Beriyani,0,0,3.3,0,300,Dining,Low
Melting Melodies,0,0,3.3,0,100,Dining,Low
New Indraprasta,0,0,3.3,0,150,Dining,Low
Anna Kuteera,1,0,4,771,450,Dining,Popular
Darbar,0,0,3,98,800,Dining,Low
Vijayalakshmi,1,0,3.9,47,200,Dining,Low
